num,viewnew,field,levelnew,DSWI1,NDVI,NDVIre2,PSRI2,REDSI,TVI,pre202101,pre7,rhu202012,ssd202101,constant,stage,stageV2new
1,4,2,0,2.337512255,0.680010855,0.558058321,-0.089598484,64.83850861,17.49188232,0.042120945,0.308237761,69.41867828,4.674202442,3,3,3
2,35,0,0,2.299156666,0.681214333,0.576206565,-0.092907101,64.67675781,16.47143173,0.041764811,0.311482817,69.30203247,4.628366947,3,3,3
3,38,0,0,2.420870543,0.700238466,0.585989058,-0.086899325,73.97454071,17.60300064,0.041659445,0.323511958,69.33476257,4.624663353,3,3,3
4,41,0,0,2.555664539,0.71726191,0.603909552,-0.084872372,80.504776,18.42113686,0.041672878,0.32393527,69.33738708,4.628050327,3,3,3
5,43,28,0,2.169512987,0.621428609,0.513388038,-0.080615945,52.07639313,17.01723099,0.041611597,0.329603046,69.35003662,4.624328136,3,3,3
6,44,0,0,2.318518639,0.653494716,0.549044371,-0.083066531,60.68793106,18.34474564,0.041624036,0.328776211,69.34849548,4.625585556,3,3,3
7,45,0,0,2.436791182,0.699424684,0.58324939,-0.085300289,73.28636932,17.72349548,0.041578352,0.333144426,69.358078,4.623113632,3,3,3
8,48,0,0,2.027846098,0.60930413,0.51360476,-0.084855936,50.31119537,16.77165031,0.04151148,0.340555966,69.37434387,4.621304035,3,3,3
9,53,0,0,1.978580713,0.588238537,0.491284341,-0.092872508,41.82860184,15.06338215,0.0414184,0.372344673,69.44541931,4.658268452,3,3,3
10,54,0,0,2.092526197,0.631483853,0.524645388,-0.089470401,53.5163269,15.62333775,0.041412029,0.372536868,69.44511414,4.657270908,3,3,3
11,55,0,0,2.296293497,0.68543905,0.57276386,-0.091403678,66.99585724,17.43686104,0.04138238,0.37442553,69.44632721,4.654459953,3,3,3
12,57,0,0,1.362548709,0.382988393,0.296906322,-0.042881738,22.67115784,8.462914467,0.041366629,0.37221539,69.43997955,4.646798134,3,3,3
13,60,0,0,1.806702018,0.589532733,0.489690632,-0.115316018,37.46572876,14.21934509,0.041340329,0.370280296,69.43430328,4.637307644,3,3,3
14,61,0,0,1.421272755,0.416125327,0.338024318,-0.042839423,25.72321892,9.419210434,0.041346546,0.370424867,69.43490601,4.638964653,3,3,3
15,64,36,0,2.497021914,0.708460271,0.598069787,-0.085869692,76.07099915,18.29260826,0.041100565,0.388391942,69.46594238,4.616868019,3,3,3
16,66,0,0,2.211485863,0.668197572,0.553440928,-0.091107674,61.74147797,17.21859169,0.041088618,0.390016615,69.46875763,4.617219448,3,3,3
17,67,0,0,2.252848864,0.671409369,0.558178902,-0.091881983,62.99965668,17.15228081,0.041086324,0.389341205,69.46795654,4.615327358,3,3,3
18,68,0,0,2.508132696,0.712584794,0.601455688,-0.083869107,78.84136963,18.60103607,0.041103955,0.38909778,69.46677399,4.619080544,3,3,3
19,69,37,0,2.415472746,0.697940052,0.585365832,-0.085860893,73.94682312,18.32736206,0.041105308,0.39002949,69.46801758,4.621258259,3,3,3
20,70,38,0,2.381867886,0.69275558,0.581260324,-0.089655735,69.87628937,17.48530769,0.041057065,0.395212233,69.47731018,4.619974613,3,3,3
21,72,0,0,2.470488548,0.702507615,0.58403486,-0.080380544,75.80379486,18.20996475,0.041029021,0.397442579,69.48176575,4.617618561,3,3,3
22,73,0,0,2.477986097,0.690039933,0.570833921,-0.08334966,74.43061829,18.34090424,0.041002583,0.398883432,69.4852829,4.614024639,3,3,3
