num,viewnew,field,levelnew,DSWI1,NDVI,NDVIre2,PSRI2,REDSI,TVI,pre202101,pre7,rhu202012,ssd202101,stagenew
1,2,0,0,1.433200717,0.398878664,0.281474382,-0.048935428,22.75216103,12.14400053,0.042127345,0.307000929,69.41432723,4.673903828,3
2,3,1,0,1.633385897,0.459035695,0.323860884,-0.047372345,29.77390862,14.38800126,0.042130397,0.306963238,69.41612528,4.674013053,3
3,4,2,0,1.582509279,0.440885752,0.313592225,-0.049150046,27.70368004,13.63200039,0.04212569,0.307661256,69.41784676,4.674132784,3
4,5,3,0,1.555993915,0.437376529,0.309073299,-0.053002235,26.51896095,13.54399979,0.04211601,0.308781698,69.41915237,4.674248459,3
5,6,4,0,1.587488413,0.442163467,0.309552938,-0.044776153,28.28025436,13.6800009,0.042115459,0.308760473,69.41864052,4.674212522,3
6,8,6,0,1.547669768,0.422346592,0.300919205,-0.041651156,27.71764565,12.98999995,0.04212672,0.307322571,69.41616807,4.674021367,3
7,9,7,0,1.625910759,0.458102793,0.322126091,-0.046372481,29.82056999,14.20000046,0.042123997,0.306363765,69.40757322,4.673480277,3
8,17,0,0,1.702020288,0.497042626,0.366229743,-0.071858525,31.75263786,15.23000091,0.042045881,0.295540332,69.28492437,4.661182464,4
9,29,22,0,1.671214938,0.479904473,0.350074559,-0.055616897,31.89824486,14.94399875,0.041810104,0.317367449,69.33352202,4.645142248,3
10,30,0,0,1.697940469,0.485308617,0.354120284,-0.058114037,32.16781616,15.2579996,0.041813163,0.317055904,69.33283139,4.645285328,4
11,31,0,0,1.675089002,0.476679832,0.337668806,-0.061331321,30.63746262,14.91599977,0.041810496,0.317831179,69.33562681,4.64582551,4
12,32,23,0,1.744860172,0.489940822,0.354145885,-0.047952771,34.17633438,15.33200026,0.041772564,0.310900675,69.30059994,4.629115387,3
13,33,24,0,1.680357695,0.474788219,0.347858787,-0.052025262,31.72043037,14.58399951,0.041763896,0.310782289,69.29922193,4.627190245,3
14,34,0,0,1.632679343,0.471561134,0.344344318,-0.064035773,28.52824402,14.50000077,0.041760585,0.310950252,69.29954115,4.626753613,3
15,35,0,0,1.674310446,0.474648774,0.352084398,-0.064636,29.54573441,14.49400097,0.041768651,0.311128996,69.30106642,4.628645254,3
16,38,0,0,1.714525342,0.48125878,0.350727528,-0.045690935,32.86167145,14.89400059,0.041664697,0.323255117,69.33437133,4.625346284,3
17,39,0,0,1.676074862,0.485748708,0.357411593,-0.076496705,29.59172249,15.02000004,0.041662018,0.323167537,69.33385606,4.624663273,3
18,40,0,0,1.661089182,0.477611929,0.342138678,-0.049205136,30.94208717,14.62799907,0.041667012,0.323426543,69.33514074,4.626081674,3
19,41,0,0,1.707301021,0.490483731,0.357499987,-0.052670363,33.6832695,15.34000009,0.041671493,0.323529742,69.33589866,4.627152146,3
20,43,28,0,1.653746724,0.486150146,0.353535354,-0.069402933,30.27031517,15.08399993,0.041616562,0.32933583,69.34960598,4.624930637,3
21,44,0,0,1.784406781,0.504784226,0.372121811,-0.05196682,35.85488892,16.08200073,0.041621027,0.328730159,69.34811004,4.624893151,3
22,45,0,0,1.732770324,0.488176376,0.356512964,-0.057949465,33.10572052,15.17200053,0.041573081,0.333443721,69.35858541,4.622498685,3
